cds_code,name,district,street,city,county,zipcode,is_charter,funding_type,latitude,longitude,ownership,instructional_level,grades_served,low_grade_served,high_grade_served
01100170112607,Envision Academy for Arts & Technology,Alameda County Office of Education,1515 Webster St.,Oakland,Alameda,94612-3355,Y,Directly funded,37.804520000000004,-122.26815,High Schools (Public),HS,9-12,9,12
01100170123968,Community School for Creative Education,Alameda County Office of Education,2111 International Blvd.,Oakland,Alameda,94606-4903,Y,Directly funded,37.784648,-122.23863,Elementary Schools (Public),ELEM,K-8,K,8
01100170124172,Yu Ming Charter,Alameda County Office of Education,1086 Alcatraz Ave.,Oakland,Alameda,94608-1265,Y,Directly funded,37.847375,-122.28356000000001,Elementary Schools (Public),ELEM,K-6,K,6
01100170125567,Urban Montessori Charter,Alameda County Office of Education,5328 Brann St.,Oakland,Alameda,94619-3312,Y,Directly funded,37.778352000000005,-122.1895,Elementary Schools (Public),ELEM,K-6,K,6
01100170130401,Alameda County Juvenile Hall/Court,Alameda County Office of Education,2500 Fairmont Ave.,San Leandro,Alameda,94578-1005,N,,37.712878,-122.11173000000001,Juvenile Court Schools,HS,8-12,8,12
01100170130419,Alameda County Community,Alameda County Office of Education,313 West Winton Ave.,Hayward,Alameda,94544-1136,N,,37.658212,-122.09713,County Community,HS,8-12,8,12
01100170131581,Oakland Unity Middle,Alameda County Office of Education,7200 Bancroft Ave. Ste. 261,Oakland,Alameda,94605-2403,Y,Directly funded,37.768221000000004,-122.17616000000001,Intermediate/Middle Schools (Public),INTMIDJR,6-8,6,8
01100170136101,Connecting Waters Charter - East Bay,Alameda County Office of Education,12420 Bentley St.,Waterford,Alameda,95386-9150,Y,Directly funded,37.639505,-120.76288000000001,K-12 Schools (Public),ELEMHIGH,,,
01100170136226,Opportunity Academy,Alameda County Office of Education,2300 International Blvd.,Oakland,Alameda,94601-1019,Y,Locally funded,37.783496,-122.23538,County Community,HS,,,
01100176001788,Cox Academy,Alameda County Office of Education,9860 Sunnyside St.,Oakland,Alameda,94603-2750,Y,Directly funded,37.746513,-122.16181999999999,Elementary Schools (Public),ELEM,K-5,K,5
01100176002000,Lazear Charter Academy,Alameda County Office of Education,824 29th Ave.,Oakland,Alameda,94601-2205,Y,Directly funded,37.776239000000004,-122.23207,Elementary Schools (Public),ELEM,K-8,K,8
01100176106751,Alameda County Special Education,Alameda County Office of Education,313 West Winton Ave.,Hayward,Alameda,94544-1136,N,,37.658212,-122.09713,Special Education Schools (Public),PS,,,
01316090131755,California School for the Blind,California School for the Blind (State Special Schl),500 Walnut Ave.,Fremont,Alameda,94536-4365,N,,37.562576,-121.96563,State Special Schools,ELEMHIGH,1-12,1,12
01316170131763,California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Special Schl),39350 Gallaudet Dr.,Fremont,Alameda,94538-2308,N,,37.558956,-121.96551000000001,State Special Schools,ELEMHIGH,K-12,K,12
01611190106401,Alameda Science and Technology Institute,Alameda Unified,555 Atlantic Ave.,Alameda,Alameda,94501-2109,N,,37.779884,-122.28052,Alternative Schools of Choice,HS,9-12,9,12
01611190111765,Ruby Bridges Elementary,Alameda Unified,351 Jack London Ave.,Alameda,Alameda,94501-3901,N,,37.781834,-122.28613999999999,Elementary Schools (Public),ELEM,K-5,K,5
01611190119222,Nea Community Learning Center,Alameda Unified,1900 Third St.,Alameda,Alameda,94501-1851,Y,Directly funded,37.779051,-122.28703,K-12 Schools (Public),ELEMHIGH,K-12,K,12
01611190122085,The Academy of Alameda,Alameda Unified,401 Pacific Ave.,Alameda,Alameda,94501-1837,Y,Directly funded,37.776497,-122.28582,Intermediate/Middle Schools (Public),INTMIDJR,6-8,6,8
01611190126656,Maya Lin,Alameda Unified,825 Taylor St.,Alameda,Alameda,94501-3411,N,,37.772724,-122.27188999999998,Alternative Schools of Choice,ELEM,K-5,K,5
01611190130120,Alameda Adult,Alameda Unified,1300 Third St.,Alameda,Alameda,94501,N,,37.770866999999996,-122.2885,Adult Education Centers,A,,,
01611190130229,Alameda High,Alameda Unified,2201 Encinal Ave.,Alameda,Alameda,94501-4406,N,,37.764294,-122.24807,High Schools (Public),HS,9-12,9,12
